,age,marital,balance,duration,campaign,pdays,y
34,49.0,0.0,1235.0,354.0,3,-1,yes
38,33.0,0.0,3935.0,765.0,1,342,yes
54,,0.0,2231.0,272.0,3,-1,yes
65,51.0,2.0,23.0,134.0,1,170,yes
89,,0.0,1831.0,203.0,2,-1,yes
90,39.0,0.0,111.0,201.0,2,-1,yes
94,57.0,0.0,1493.0,231.0,5,-1,yes
101,38.0,1.0,493.0,553.0,1,367,yes
103,57.0,1.0,3777.0,65.0,2,-1,yes
111,58.0,0.0,1517.0,7.0,5,-1,yes
120,31.0,2.0,189.0,588.0,1,-1,yes
134,27.0,1.0,769.0,317.0,2,-1,yes
145,,0.0,16.0,588.0,2,-1,yes
162,41.0,1.0,-256.0,35.0,3,-1,yes
168,48.0,0.0,31.0,,1,-1,no
188,36.0,,23.0,152.0,2,347,yes
193,36.0,0.0,1981.0,48.0,2,-1,yes
197,38.0,0.0,1.0,152.0,2,-1,yes
205,45.0,,,139.0,2,-1,yes
218,49.0,,35.0,834.0,10,-1,yes
251,32.0,0.0,2349.0,134.0,5,-1,yes
259,29.0,,482.0,1097.0,3,-1,yes
276,,0.0,11219.0,699.0,2,79,yes
294,47.0,0.0,3681.0,101.0,2,-1,yes
317,50.0,0.0,276.0,641.0,6,-1,yes
337,33.0,1.0,141.0,8.0,1,254,yes
344,37.0,1.0,54.0,555.0,1,-1,yes
365,23.0,1.0,78.0,267.0,1,-1,yes
373,51.0,0.0,-379.0,261.0,1,-1,yes
381,39.0,0.0,375.0,77.0,1,-1,yes
382,59.0,0.0,9676.0,234.0,2,-1,yes
383,37.0,0.0,1328.0,,2,341,no
394,33.0,0.0,43.0,332.0,2,358,yes
411,,1.0,186.0,342.0,1,-1,yes
416,31.0,1.0,27.0,319.0,2,-1,yes
419,46.0,0.0,1322.0,514.0,1,-1,yes
446,31.0,0.0,2363.0,247.0,1,-1,yes
492,,0.0,1796.0,295.0,1,91,yes
494,44.0,1.0,244.0,1735.0,4,-1,yes
502,31.0,0.0,13.0,110.0,5,-1,yes
504,41.0,0.0,3872.0,231.0,1,-1,yes
505,31.0,0.0,296.0,378.0,3,-1,yes
513,48.0,2.0,18.0,89.0,2,-1,yes
515,45.0,2.0,757.0,103.0,1,325,yes
522,43.0,2.0,738.0,585.0,4,191,yes
531,58.0,0.0,76.0,54.0,4,-1,yes
557,43.0,1.0,134.0,501.0,2,-1,yes
590,45.0,0.0,334.0,87.0,2,-1,yes
591,39.0,0.0,148.0,405.0,1,-1,yes
606,28.0,0.0,12.0,251.0,1,-1,yes
613,41.0,0.0,231.0,352.0,2,-1,yes
614,39.0,0.0,1161.0,236.0,1,336,yes
624,31.0,0.0,1134.0,174.0,2,-1,yes
635,33.0,2.0,28.0,155.0,1,-1,yes
636,41.0,2.0,2195.0,211.0,5,-1,yes
641,56.0,0.0,,471.0,2,-1,yes
647,46.0,2.0,6269.0,249.0,3,112,yes
655,59.0,0.0,,104.0,7,-1,yes
673,33.0,0.0,188.0,99.0,4,-1,yes
675,37.0,0.0,64.0,239.0,4,278,yes
679,44.0,0.0,376.0,209.0,3,-1,yes
684,28.0,1.0,168.0,347.0,3,140,yes
694,49.0,0.0,143.0,231.0,2,-1,yes
695,51.0,0.0,35.0,123.0,4,-1,yes
706,33.0,1.0,123.0,264.0,1,-1,yes
730,38.0,1.0,1146.0,91.0,2,-1,yes
735,30.0,1.0,566.0,110.0,1,-1,yes
749,43.0,2.0,49.0,100.0,1,-1,yes
766,57.0,0.0,152.0,227.0,4,-1,yes
769,52.0,0.0,1944.0,238.0,3,323,yes
795,30.0,1.0,162.0,186.0,4,-1,yes
803,57.0,1.0,254.0,676.0,1,-1,yes
813,31.0,0.0,466.0,164.0,1,-1,yes
822,40.0,0.0,13669.0,138.0,1,136,yes
830,42.0,1.0,,99.0,1,-1,yes
831,47.0,0.0,1996.0,,2,-1,no
837,39.0,1.0,766.0,667.0,3,357,yes
860,58.0,0.0,39.0,156.0,2,-1,yes
868,,0.0,141.0,299.0,2,-1,yes
877,30.0,1.0,19358.0,258.0,2,-1,yes
883,45.0,0.0,58.0,119.0,3,371,yes
892,27.0,1.0,5291.0,192.0,2,92,yes
902,58.0,1.0,49.0,643.0,2,-1,yes
935,46.0,0.0,294.0,277.0,2,-1,yes
951,55.0,0.0,979.0,123.0,1,-1,yes
967,,0.0,6411.0,144.0,1,266,yes
977,44.0,0.0,134.0,86.0,4,-1,yes
993,31.0,0.0,314.0,279.0,1,-1,yes
994,59.0,0.0,,76.0,11,-1,yes
999,20.0,1.0,291.0,172.0,5,371,yes
1001,31.0,1.0,438.0,130.0,2,-1,yes
1004,,0.0,24.0,229.0,3,-1,yes
1024,36.0,0.0,2357.0,228.0,2,-1,yes
1032,46.0,1.0,538.0,118.0,3,-1,yes
1052,30.0,0.0,11.0,157.0,1,-1,yes
1066,38.0,0.0,74.0,259.0,3,-1,yes
1067,44.0,0.0,8262.0,201.0,16,-1,yes
1069,45.0,1.0,718.0,53.0,1,172,yes
1096,46.0,0.0,217.0,141.0,1,346,yes
1098,37.0,1.0,,69.0,2,-1,yes
1101,28.0,0.0,148.0,143.0,1,-1,yes
1104,37.0,1.0,851.0,151.0,1,352,yes
1109,59.0,0.0,1.0,,2,378,no
1110,50.0,2.0,-1.0,369.0,6,-1,yes
1155,32.0,1.0,259.0,407.0,4,-1,yes
1181,,0.0,176.0,152.0,1,182,yes
1189,,1.0,21.0,257.0,2,-1,yes
1197,64.0,0.0,679.0,135.0,3,-1,yes
1210,60.0,2.0,174.0,241.0,1,364,yes
1211,66.0,1.0,1177.0,272.0,4,-1,yes
1217,44.0,,271.0,94.0,1,-1,yes
1221,30.0,0.0,1772.0,158.0,4,-1,yes
1222,27.0,1.0,15.0,177.0,1,-1,yes
1223,49.0,2.0,237.0,56.0,1,103,yes
1224,27.0,1.0,21.0,172.0,2,-1,yes
1229,27.0,,-79.0,385.0,5,-1,yes
1243,69.0,0.0,579.0,230.0,1,-1,yes
1245,45.0,1.0,,38.0,1,-1,yes
1250,33.0,2.0,1897.0,197.0,1,-1,yes
1260,33.0,1.0,-56.0,119.0,5,-1,yes
1261,30.0,0.0,1.0,80.0,2,-1,yes
1262,43.0,0.0,-98.0,112.0,2,330,yes
1287,31.0,0.0,263.0,280.0,4,-1,yes
1295,,1.0,172.0,67.0,2,-1,yes
1302,46.0,0.0,494.0,724.0,1,-1,yes
1312,80.0,0.0,834.0,,1,64,no
1334,32.0,1.0,311.0,757.0,2,-1,yes
1341,31.0,0.0,413.0,65.0,1,-1,yes
1343,47.0,0.0,1233.0,91.0,1,100,yes
1346,,0.0,1499.0,186.0,1,327,yes
1347,29.0,0.0,751.0,121.0,2,-1,yes
1358,41.0,0.0,,101.0,1,-1,yes
1364,,0.0,196.0,68.0,3,-1,yes
1366,36.0,0.0,-296.0,113.0,3,-1,yes
1373,56.0,0.0,379.0,58.0,5,-1,yes
1382,,,299.0,209.0,1,321,yes
1406,44.0,1.0,2524.0,82.0,1,-1,yes
1435,64.0,0.0,1574.0,301.0,3,-1,yes
1441,49.0,0.0,31.0,789.0,2,-1,yes
1447,45.0,0.0,638.0,75.0,9,-1,yes
1451,29.0,0.0,3748.0,,3,-1,no
1489,27.0,1.0,6421.0,147.0,4,-1,yes
1498,51.0,2.0,837.0,41.0,2,-1,yes
1500,30.0,0.0,1743.0,192.0,4,-1,yes
1514,32.0,0.0,167.0,79.0,3,-1,yes
1517,,0.0,13.0,,1,-1,no
1523,,1.0,2178.0,41.0,1,-1,yes
1545,56.0,,,154.0,2,-1,yes
1555,,0.0,412.0,164.0,1,-1,yes
1560,52.0,0.0,1339.0,343.0,5,-1,yes
1563,55.0,0.0,24.0,455.0,13,-1,yes
1565,45.0,2.0,728.0,107.0,1,-1,yes
1585,42.0,0.0,5639.0,430.0,2,-1,yes
1597,,1.0,876.0,,2,-1,no
1604,49.0,1.0,151.0,,3,-1,no
1605,,0.0,-2.0,144.0,2,-1,yes
1615,,0.0,417.0,138.0,1,-1,yes
1629,42.0,0.0,13.0,285.0,1,-1,yes
1630,32.0,2.0,1.0,399.0,4,-1,yes
1646,38.0,1.0,2273.0,222.0,1,-1,yes
1665,51.0,0.0,2237.0,619.0,1,-1,yes
1671,,0.0,624.0,163.0,1,-1,yes
1721,60.0,0.0,262.0,393.0,4,-1,yes
1732,48.0,0.0,191.0,413.0,2,-1,yes
1736,40.0,1.0,1.0,221.0,1,461,yes
1753,56.0,0.0,83.0,26.0,11,-1,yes
1760,,0.0,,524.0,1,96,yes
1762,,1.0,44.0,310.0,2,96,yes
1765,32.0,1.0,2.0,144.0,2,-1,yes
1773,37.0,0.0,4565.0,369.0,1,-1,yes
1787,39.0,0.0,,46.0,2,-1,yes
1792,54.0,0.0,8.0,143.0,1,-1,yes
1795,,1.0,283.0,22.0,12,-1,yes
1797,31.0,1.0,125.0,78.0,2,-1,yes
1846,51.0,0.0,95.0,,4,-1,no
1858,,0.0,622.0,145.0,1,-1,yes
1868,42.0,0.0,-679.0,159.0,1,343,yes
1881,36.0,0.0,27359.0,71.0,2,-1,yes
1900,19.0,1.0,,123.0,3,-1,yes
1908,44.0,1.0,-27.0,100.0,3,-1,yes
1924,44.0,2.0,-329.0,171.0,1,-1,yes
1931,45.0,0.0,4365.0,45.0,2,-1,yes
1948,27.0,1.0,383.0,244.0,2,-1,yes
1955,46.0,2.0,-154.0,107.0,2,-1,yes
1962,25.0,1.0,343.0,377.0,1,-1,yes
1973,59.0,,139.0,153.0,1,-1,yes
1975,50.0,2.0,1111.0,50.0,1,-1,yes
1989,45.0,0.0,2926.0,482.0,3,120,yes
1991,37.0,2.0,66.0,1164.0,2,-1,yes
1997,,1.0,77.0,236.0,2,-1,yes
2005,51.0,0.0,-13.0,361.0,1,364,yes
2022,33.0,1.0,317.0,246.0,2,-1,yes
2038,33.0,1.0,5137.0,123.0,1,-1,yes
2039,43.0,0.0,1344.0,36.0,4,-1,yes
2041,73.0,0.0,154.0,103.0,1,-1,yes
2044,44.0,0.0,529.0,129.0,4,-1,yes
2053,,1.0,-46.0,23.0,1,-1,yes
2055,48.0,0.0,568.0,,2,386,no
2108,46.0,2.0,452.0,113.0,4,-1,yes
2114,33.0,0.0,1412.0,480.0,1,-1,yes
2118,51.0,0.0,3726.0,119.0,12,-1,yes
2120,62.0,2.0,,227.0,2,-1,yes
2151,51.0,2.0,62.0,347.0,1,284,yes
2163,51.0,0.0,149.0,227.0,2,-1,yes
2172,31.0,1.0,-495.0,334.0,2,-1,yes
2174,,0.0,819.0,102.0,14,-1,yes
2199,,2.0,148.0,199.0,1,-1,yes
2210,,0.0,4343.0,85.0,4,-1,yes
2219,44.0,0.0,2776.0,701.0,1,-1,yes
2241,41.0,0.0,389.0,87.0,6,-1,yes
2245,45.0,0.0,115.0,108.0,1,-1,yes
2257,55.0,0.0,383.0,287.0,1,-1,yes
2273,44.0,0.0,-11.0,13.0,1,-1,yes
2296,32.0,0.0,195.0,709.0,2,-1,yes
2307,47.0,2.0,2515.0,40.0,3,-1,yes
2321,27.0,,54.0,543.0,2,-1,yes
2354,,1.0,,132.0,4,-1,yes
2359,36.0,1.0,417.0,15.0,10,207,yes
2361,37.0,2.0,532.0,199.0,1,-1,yes
2369,45.0,0.0,68.0,254.0,1,-1,yes
2373,28.0,0.0,8.0,196.0,1,-1,yes
2378,39.0,0.0,1439.0,73.0,6,-1,yes
2385,47.0,0.0,3333.0,114.0,2,-1,yes
2386,33.0,0.0,16992.0,58.0,1,-1,yes
2390,,1.0,366.0,234.0,2,-1,yes
2403,42.0,0.0,148.0,23.0,2,-1,yes
2409,32.0,1.0,1649.0,204.0,2,-1,yes
2441,36.0,0.0,957.0,206.0,1,-1,yes
2444,,0.0,724.0,287.0,2,415,yes
2457,50.0,2.0,32.0,282.0,2,-1,yes
2458,47.0,0.0,31.0,128.0,6,-1,yes
2471,22.0,1.0,2488.0,449.0,2,38,yes
2487,31.0,2.0,137.0,385.0,9,-1,yes
2489,55.0,0.0,-966.0,,1,-1,no
2495,38.0,1.0,917.0,260.0,1,-1,yes
2509,41.0,0.0,,232.0,3,-1,yes
2518,30.0,1.0,175.0,167.0,4,-1,yes
2527,36.0,1.0,398.0,77.0,2,-1,yes
2529,48.0,1.0,816.0,125.0,1,111,yes
2530,33.0,1.0,,53.0,4,-1,yes
2538,44.0,0.0,-1746.0,218.0,1,-1,yes
2560,44.0,0.0,171.0,143.0,3,357,yes
2582,32.0,0.0,9.0,334.0,2,-1,yes
2598,36.0,1.0,367.0,217.0,1,221,yes
2600,45.0,2.0,959.0,74.0,1,-1,yes
2603,26.0,1.0,-8.0,402.0,2,-1,yes
2604,57.0,0.0,,585.0,1,-1,yes
2617,41.0,0.0,171.0,71.0,9,-1,yes
2625,42.0,0.0,2111.0,86.0,2,-1,yes
2628,31.0,2.0,-452.0,182.0,5,-1,yes
2643,56.0,2.0,212.0,27.0,1,-1,yes
2660,32.0,0.0,1.0,501.0,4,-1,yes
2670,46.0,0.0,,239.0,2,259,yes
2672,39.0,0.0,-54.0,29.0,1,-1,yes
2696,55.0,2.0,9756.0,103.0,2,95,yes
2698,,,697.0,166.0,1,-1,yes
2723,,1.0,9851.0,,5,-1,no
2726,31.0,0.0,1368.0,129.0,4,-1,yes
2735,47.0,0.0,459.0,189.0,4,-1,yes
2743,,0.0,167.0,179.0,6,-1,yes
2745,,0.0,1657.0,566.0,2,356,yes
2753,,0.0,133.0,,1,-1,no
2761,,2.0,,477.0,1,-1,yes
2765,,0.0,695.0,410.0,5,-1,yes
2768,54.0,0.0,88.0,190.0,1,-1,yes
2785,41.0,0.0,92.0,35.0,6,-1,yes
2794,44.0,0.0,191.0,41.0,1,-1,yes
2798,36.0,0.0,141.0,106.0,3,-1,yes
2799,43.0,0.0,2886.0,230.0,1,-1,yes
2811,44.0,0.0,134.0,378.0,1,-1,yes
2820,,0.0,1116.0,53.0,5,-1,yes
2835,37.0,0.0,489.0,205.0,5,-1,yes
2837,43.0,0.0,699.0,1258.0,2,122,yes
2841,32.0,1.0,741.0,238.0,1,-1,yes
2844,46.0,0.0,12.0,20.0,11,-1,yes
2853,33.0,0.0,935.0,407.0,2,-1,yes
2866,36.0,0.0,,101.0,2,-1,yes
2869,49.0,0.0,28.0,162.0,3,-1,yes
2896,80.0,0.0,1548.0,331.0,2,-1,yes
2916,32.0,1.0,1218.0,149.0,2,-1,yes
2926,33.0,0.0,1465.0,98.0,4,-1,yes
2946,45.0,0.0,-388.0,175.0,2,-1,yes
2947,40.0,0.0,163.0,279.0,1,-1,yes
2954,51.0,0.0,,565.0,3,-1,yes
2965,,0.0,3587.0,148.0,4,-1,yes
2975,48.0,1.0,-551.0,168.0,2,-1,yes
2983,,0.0,1278.0,174.0,3,-1,yes
2989,42.0,0.0,4245.0,205.0,2,-1,yes
3012,36.0,0.0,-11.0,172.0,28,-1,yes
3013,49.0,0.0,523.0,152.0,2,-1,yes
3027,40.0,0.0,,147.0,1,96,yes
3035,55.0,0.0,489.0,223.0,2,186,yes
3038,49.0,0.0,221.0,233.0,3,-1,yes
3043,40.0,,1397.0,58.0,2,334,yes
3045,,0.0,3177.0,92.0,2,-1,yes
3056,23.0,1.0,5.0,111.0,3,-1,yes
3064,43.0,1.0,1696.0,257.0,1,474,yes
3092,46.0,0.0,523.0,105.0,4,366,yes
3109,,1.0,,370.0,4,-1,yes
3137,42.0,0.0,368.0,429.0,2,-1,yes
3146,32.0,0.0,357.0,175.0,2,-1,yes
3150,,0.0,9146.0,136.0,4,-1,yes
3156,23.0,1.0,589.0,62.0,1,-1,yes
3161,,0.0,556.0,460.0,2,-1,yes
3171,28.0,1.0,1199.0,1011.0,20,-1,yes
3175,38.0,2.0,156.0,544.0,3,-1,yes
3193,,2.0,86.0,192.0,1,-1,yes
3200,,1.0,3298.0,227.0,1,-1,yes
3215,40.0,0.0,99.0,252.0,3,-1,yes
3234,39.0,1.0,3797.0,96.0,2,-1,yes
3256,36.0,0.0,495.0,213.0,3,182,yes
3272,44.0,1.0,545.0,20.0,6,175,yes
3283,45.0,0.0,2128.0,149.0,4,-1,yes
3313,36.0,0.0,179.0,411.0,1,-1,yes
3334,46.0,2.0,23.0,344.0,1,-1,yes
3359,25.0,1.0,34.0,316.0,1,-1,yes
3367,27.0,0.0,897.0,397.0,1,-1,yes
3406,,1.0,926.0,191.0,1,-1,yes
3446,38.0,0.0,8876.0,280.0,1,75,yes
3455,33.0,2.0,-35.0,109.0,1,-1,yes
3457,30.0,1.0,6164.0,152.0,11,-1,yes
3482,59.0,0.0,576.0,471.0,2,-1,yes
3506,54.0,0.0,3.0,443.0,1,-1,yes
3534,47.0,1.0,1544.0,104.0,1,312,yes
3542,36.0,0.0,1746.0,99.0,1,-1,yes
3549,47.0,0.0,292.0,210.0,3,-1,yes
3553,68.0,0.0,19317.0,249.0,1,-1,yes
3554,43.0,0.0,5.0,63.0,1,-1,yes
3556,49.0,0.0,3726.0,875.0,2,-1,yes
3577,32.0,0.0,,104.0,9,-1,yes
3595,30.0,1.0,447.0,103.0,6,-1,yes
3598,43.0,0.0,3215.0,228.0,3,-1,yes
3604,36.0,0.0,,147.0,2,-1,yes
3609,55.0,0.0,,159.0,2,-1,yes
3626,,0.0,114.0,153.0,1,309,yes
3630,44.0,2.0,759.0,397.0,1,-1,yes
3652,29.0,1.0,17.0,30.0,1,357,yes
3656,33.0,1.0,5969.0,156.0,2,127,yes
3664,,0.0,351.0,467.0,1,-1,yes
3673,36.0,0.0,357.0,2769.0,4,-1,yes
3682,43.0,2.0,497.0,66.0,1,363,yes
3696,31.0,1.0,31.0,501.0,2,-1,yes
3709,44.0,0.0,6649.0,354.0,2,-1,yes
3722,29.0,0.0,-76.0,305.0,2,-1,yes
3725,49.0,0.0,-384.0,25.0,1,-1,yes
3726,45.0,0.0,473.0,147.0,1,-1,yes
3729,42.0,0.0,149.0,94.0,2,-1,yes
3731,52.0,0.0,424.0,143.0,1,154,yes
3732,,1.0,79.0,104.0,1,-1,yes
3744,26.0,1.0,321.0,242.0,7,-1,yes
3750,79.0,2.0,2628.0,220.0,7,450,yes
3751,39.0,0.0,116.0,79.0,2,94,yes
3756,42.0,0.0,96.0,238.0,3,340,yes
3758,31.0,0.0,472.0,907.0,2,-1,yes
3774,,0.0,1298.0,,1,-1,no
3795,39.0,0.0,5731.0,175.0,2,-1,yes
3797,30.0,1.0,2325.0,270.0,3,241,yes
3799,31.0,0.0,1664.0,158.0,1,182,yes
3829,41.0,2.0,-365.0,226.0,10,-1,yes
3845,31.0,0.0,1495.0,159.0,3,-1,yes
3846,49.0,0.0,381.0,504.0,2,-1,yes
3848,26.0,1.0,1274.0,190.0,1,84,yes
3871,30.0,0.0,142.0,350.0,4,-1,yes
3875,27.0,0.0,4848.0,82.0,3,-1,yes
3881,44.0,1.0,1679.0,718.0,1,-1,yes
3882,38.0,0.0,1198.0,63.0,1,-1,yes
3895,31.0,0.0,376.0,129.0,1,-1,yes
3902,55.0,0.0,111.0,112.0,2,-1,yes
3905,,0.0,,94.0,1,-1,yes
3910,49.0,0.0,1444.0,60.0,1,-1,yes
3916,38.0,0.0,,185.0,3,-1,yes
3924,44.0,0.0,1989.0,106.0,2,-1,yes
3932,25.0,0.0,-242.0,600.0,4,332,yes
3938,32.0,0.0,162.0,297.0,2,-1,yes
3941,58.0,0.0,,535.0,2,-1,yes
3946,28.0,0.0,934.0,53.0,2,-1,yes
3947,48.0,0.0,-19.0,270.0,1,-1,yes
3959,54.0,2.0,22.0,23.0,4,-1,yes
3965,58.0,0.0,592.0,199.0,6,-1,yes
3976,48.0,0.0,-13.0,20.0,6,291,yes
3983,40.0,2.0,1871.0,64.0,1,-1,yes
3991,31.0,1.0,5527.0,132.0,1,-1,yes
4001,36.0,0.0,191.0,69.0,1,-1,yes
4005,55.0,0.0,186.0,146.0,1,272,yes
4006,55.0,0.0,471.0,58.0,2,-1,yes
4009,38.0,2.0,7.0,255.0,3,148,yes
4011,41.0,0.0,162.0,142.0,1,-1,yes
4013,39.0,0.0,839.0,825.0,2,-1,yes
4036,40.0,0.0,4441.0,153.0,2,183,yes
4037,42.0,2.0,,131.0,2,-1,yes
4051,69.0,0.0,279.0,26.0,1,-1,yes
4055,29.0,1.0,1673.0,200.0,2,159,yes
4057,28.0,0.0,1.0,132.0,2,-1,yes
4067,,0.0,26.0,,6,-1,no
4085,,0.0,,295.0,3,-1,yes
4088,42.0,0.0,26.0,175.0,2,-1,yes
4105,39.0,0.0,,108.0,7,-1,yes
4137,59.0,0.0,394.0,48.0,2,-1,yes
4141,37.0,0.0,,129.0,4,107,yes
4151,32.0,1.0,2478.0,395.0,1,-1,yes
4162,56.0,2.0,41.0,26.0,1,-1,yes
4165,59.0,0.0,1881.0,,2,-1,no
4205,44.0,2.0,,97.0,1,-1,yes
4213,30.0,1.0,-522.0,670.0,2,286,yes
4217,38.0,0.0,2812.0,830.0,1,-1,yes
4220,33.0,1.0,-416.0,767.0,2,-1,yes
4240,45.0,0.0,-547.0,214.0,2,-1,yes
4250,32.0,1.0,2.0,100.0,2,-1,yes
4261,58.0,0.0,3382.0,294.0,2,309,yes
4263,25.0,0.0,1.0,857.0,4,-1,yes
4270,37.0,2.0,896.0,343.0,2,-1,yes
4275,,0.0,15.0,921.0,2,-1,yes
4282,,2.0,-251.0,641.0,1,-1,yes
4283,46.0,2.0,5.0,305.0,2,-1,yes
4298,26.0,1.0,3529.0,57.0,2,-1,yes
4310,36.0,,1852.0,362.0,1,-1,yes
4312,30.0,1.0,2.0,404.0,6,340,yes
4342,50.0,0.0,2284.0,1088.0,17,-1,yes
4352,47.0,0.0,2642.0,310.0,2,-1,yes
4368,54.0,2.0,112.0,33.0,3,175,yes
4374,45.0,2.0,3854.0,10.0,3,-1,yes
4384,52.0,1.0,4.0,30.0,9,-1,yes
4407,45.0,2.0,59.0,873.0,8,-1,yes
4426,41.0,,1536.0,54.0,2,-1,yes
4441,38.0,0.0,12877.0,118.0,3,-1,yes
4442,39.0,0.0,156.0,299.0,2,-1,yes
4446,22.0,1.0,246.0,25.0,1,-1,yes
4448,44.0,0.0,34.0,129.0,2,-1,yes
4460,40.0,0.0,-396.0,127.0,1,-1,yes
4470,31.0,1.0,1166.0,207.0,1,-1,yes
4471,59.0,0.0,3534.0,216.0,4,-1,yes
4473,33.0,0.0,479.0,137.0,1,272,yes
4477,32.0,1.0,577.0,101.0,2,-1,yes
4482,46.0,0.0,466.0,,1,-1,no
